,LTER.SpeciesCode,Scientific.Name,Authority,Common.Name,Habit..P.Perennial..A.Annual..Bi.Biennial..Growth.Form..G.Grass..F.Forb..SS.Sub.Shrub..,X..C.cool..W.Warm.Season.,Flowering.Date,X,kingdom,order,Family_og,family,genus,species
166,Erfl,Erigeron flagellaris,A. Gray,trailing fleabane,BiF or PF,,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Erigeron,flagellaris
167,Eref,Eriogonum effusum,Nutt.,speading wildbuckwheat,PSS,WS,(Jul) Aug-Sep,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Eriogonum,effusum
168,Erfv,Eriogonum flavum,Nutt.,yellow wildbuckwheat,PF,,May-Sep,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Eriogonum,flavum
169,Erci,Erodium cicutarium,(L.) L?Her.,redstem filaree,AF,,Mar-Sep,NA,Plantae,Geraniales,Geraniaceae,Geraniaceae,Erodium,cicutarium
170,Eras,Erysimum asperum,(Nutt.) DC.,western wallflower,PF or BiF,,Apr-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Erysimum,asperum
171,Eude*,Euphorbia dentata,Michx.,toothed spurge,AF,,May-Oct,NA,Plantae,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,dentata
172,Euge,Euphorbia geyeri,Engelm.,Geyer?s euphorbia (spurge),AF,,Jun-Oct,NA,Plantae,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,geyeri
173,Eugl*,Euphorbia glyptosperma,Engelm.,ridgeseed euphorbia,AF,,May-Oct,NA,Plantae,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,glyptosperma
174,Euma,Euphorbia marginata,Pursh,snow-on-the-mountain spurge,AF,,Jun-Oct,NA,Plantae,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,marginata
175,Eumi,Euphorbia missurica,Raf.,Missouri spurge,AF,,Jun-Nov,NA,Plantae,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,missurica
176,Euro,Euphorbia robusta,(Engelm.) Small.,robust spurge,PF,,Jun-Sep,NA,Plantae,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,robusta
177,Eula,See Cela,,,,,,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Ceratoides,lanata
178,Evnu,Evolvulus nuttallianus,R. & S.,Nuttal?s evolvulus,PF,,May-Jul,NA,Plantae,Solanales,Convolvulaceae,Convolvulaceae,Evolvulus,nuttallianus
179,Frdi,See Amto,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Ambrosia,tomentosa
180,Gaco,Gaura coccinea,Nutt. ex. Pursh,scarlet gaura,PF,CS,Apr-Sep,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Gaura,coccinea
181,Gapa,Gaura parviflora,Dougl.,smallflower gaura,AF,,May-Oct,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Gaura,parviflora
182,Gefr,Geranium fremontii,Torr. & Gray,Fremont geranium,PF,,,NA,Plantae,Geraniales,Geraniaceae,Geraniaceae,Geranium,fremontii
183,Gila ,See Ipla,,,,,,NA,Plantae,Ericales,Polemoniaceae,Polemoniaceae,Ipomopsis,laxiflora
184,Gisp,See Ipsp,,,,,,NA,Plantae,Ericales,Polemoniaceae,Polemoniaceae,Ipomopsis,spicata
185,Glle,Glycyrrhiza lepidota,(Nutt.) Pursh,American licorice,PF,,May-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Glycyrrhiza,lepidota
186,Gnul,Gnaphalium uliginosum,L.,slenderleaved cudweed,AF,,Jul-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Gnaphalium,uliginosum
187,Grsq,Grindelia squarrosa,(Pursh) Dunal,curlycup gumweed,PF or BiF,WS,Jul-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Grindelia,squarrosa
188,Gusa,Gutierrezia sarothrae,(Pursh) Britt. & Rusby,broom snakeweed,PSS,CS,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Gutierrezia,sarothrae
189,Haac,Haplopappus acaulis,(Nutt.) Gray,stemless goldenweed,PF,,,NA,Plantae,Asterales,Compositae,Asteraceae,Haplopappus,acaulis
190,Hasp,Haplopappus spinulosus,(Pursh) DC.,ironplant tansyaster,PF,WS,May-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Haplopappus,spinulosus
191,Hehi*,Hedeoma hispida,Pursh,rough false pennyroyal,AF,,May-Jul (Aug-Sep),NA,Plantae,Lamiales,Labiatae,Lamiaceae,Hedeoma,hispida
192,Hebo,Hedysarum boreale,Nutt.,sweet broom,PF,,Jun-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Hedysarum,boreale
193,Hean,Helianthus annuus,L.,common sunflower,AF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Helianthus,annuus
194,Hepe,Helianthus petiolaris,Nutt.,prairie sunflower,PF,WS,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Helianthus,petiolaris
195,Hepu,Helianthus pumilus,Nutt.,low sunflower,PF,,Jul-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Helianthus,pumilus
196,Hyfi,Hymenopappus filifolius,Hook.,fineleaf hymenopappus,PF,,Jun-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Hymenopappus,filifolius
197,Hyac,Hymenoxys acaulis,(Pursh) Parker,stemless actinea (hymenoxys),PF,,May-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Hymenoxys,acaulis
198,Iple,Ipomoea leptophylla,Torr.,bush morningglory,PF,,May-Sep,NA,Plantae,Solanales,Convolvulaceae,Convolvulaceae,Ipomoea,leptophylla
199,Ipla,Ipomopsis laxiflora,(Coult.) V. Grant,looseflowered gilia,AF to BiF,,May-Jul,NA,Plantae,Ericales,Polemoniaceae,Polemoniaceae,Ipomopsis,laxiflora
200,Ipsp,Ipomopsis spicata,(Nutt.) V. Grant,spike gilia,PF,,May-Jul,NA,Plantae,Ericales,Polemoniaceae,Polemoniaceae,Ipomopsis,spicata
201,Ivax,Iva axillaris,Pursh,poverty sumpweed,PF,,Jun-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Iva,axillaris
202,Ivxa,Iva xanthifolia,Nutt.,marsh elder sumpweed,AF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Iva,xanthifolia
203,Kosc,Kochia scoparia,(L.) Schrad.,Iran summer cyperus,AF,,Jul-Oct,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Kochia,scoparia
204,Kueu*,Kuhnia eupatorioides,L.,false boneset,PF,,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Kuhnia,eupatorioides
205,Laob,Lactuca oblongifolia,Nutt.,chicory lettuce,PF,,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Lactuca,oblongifolia
206,Lase,Lactuca serriola,L.,prickly lettuce,AF,,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Lactuca,serriola
207,Lare,Lappula redowskii,(Hornem.) Greene,blueburr stickseed,AF,,May-Aug,NA,Plantae,Boraginales,Boraginaceae,Boraginaceae,Lappula,redowskii
208,Lain,See Lapo,,,,,,NA,Plantae,Fabales,Leguminosae,Fabaceae,Lathyrus,polymorphus
209,Lapo,Lathyrus polymorphus,Nutt. ssp. incanus (Sm. & Rydb.) C.L. Hitchc.,hoary peavine,PF,,May-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Lathyrus,polymorphus
210,Lede,Lepidium densiflorum,Schrad.,prairie pepperweed,AF or BiF,CS,Feb-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Lepidium,densiflorum
211,Lelu,Lesquerella ludoviciana,(Nutt.) Wats.,foothill bladderpod,PF,,Apr-Aug,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Lesquerella,ludoviciana
212,Lemo,Leucocrinum montanum,Nutt. ex. Gray,common starlily or mountain lily,PF,CS,Apr-Jun,NA,Plantae,Lillales,Liliaceae,Liliaceae,Leucocrinum,montanum
213,Lipu,Liatris punctata,Hook.,dotted gayfeather,PF,,Jul-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Liatris,punctata
214,Lipe*,Linum perenne,L. var. lewisii (Pursh) Eat. & Wright,blue flax,PF,,May-Aug,NA,Plantae,Malpighiales,Linaceae,Linaceae,Linum,perenne
215,Liri,Linum rigidum,Pursh,stiffstem (yellow) flax,AF,,May-Oct,NA,Plantae,Malpighiales,Linaceae,Linaceae,Linum,rigidum
216,Liin,Lithospermum incisum,Lehm.,narrowleaf gromwell,PF,CS,Apr-Jun,NA,Plantae,Boraginales,Boraginaceae,Boraginaceae,Lithospermum,incisum
217,Loor*,Lomatium orientale,Coult & Rose,wild parsley,PF,,Apr-Jun,NA,Plantae,Apiales,Umbelliferae,Apiaceae,Lomatium,orientale
218,Luar*,Lupinus argenteus,Prush,silvery lupine,PF,,Jun-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Lupinus,argenteus
219,Lupu,Lupinus pusillus,Pursh,rusty lupine,AF,CS,May-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Lupinus,pusillus
220,Lyju,Lygodesmia juncea,(Pursh) D. Don,rush skeletonweed,PF,WS,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Lygodesmia,juncea
221,Maca,Machaeranthera canescens,(Pursh) A. Gray,hoary tansyaster,AF or BiF,,Jul-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Machaeranthera,canescens
222,Mata,Machaeranthera tanacetifolia,(H. B. K.) Nees,tansyleaf aster,AF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Machaeranthera,tanacetifolia
223,Mane**,Malva neglecta,Wallr.,common cheesewood mallow,AF,,Apr-Oct,NA,Plantae,Malvales,Malvaceae,Malvaceae,Malva,neglecta
224,Mavi,See Covi,,,,,,NA,Plantae,Caryophyllales,Cactaceae,Cactaceae,Coryphantha,vivipara
225,Mavu,Marrubium vulgare,L.,common horehound,PF,,May-Jul,NA,Plantae,Lamiales,Labiatae,Lamiaceae,Marrubium,vulgare
226,Melu,Medicago lupulina,L.,black medic,AF,,Apr-Nov,NA,Plantae,Fabales,Leguminosae,Fabaceae,Medicago,lupulina
227,Meal,Melilotus alba,Medic.,white sweetclover,AF or BiF,,May-Oct,NA,Plantae,Fabales,Leguminosae,Fabaceae,Melilotus,alba
228,Meof,Melilotus officinalis,(L.) Pallas,yellow sweetclover,AF or BiF,,May-Oct,NA,Plantae,Fabales,Leguminosae,Fabaceae,Melilotus,officinalis
229,Mede,Mentzelia decapetala,(Pursh) Urban. & Gilg.,tenpetal mentzelia,PF or BiF,,Jul-Sep,NA,Plantae,Comales,Loasaceae,Loasaceae,Mentzelia,decapetala
230,Menu,Mentzelia nuda,(Pursh) Torr. & Gray,bractless mentzelia,PF or BiF,,Jul-Sep,NA,Plantae,Comales,Loasaceae,Loasaceae,Mentzelia,nuda
231,Micu,Microseris cuspidata,(Pursh) Ech.-Bip.,pointedleaf nothocalais,PF,,Apr-Jun,NA,Plantae,Asterales,Compositae,Asteraceae,Microseris,cuspidata
232,Mili,Mirabilis linearis,(Pursh) Heimerl.,linearleaved four-o?clock,PF,WS,May-Sep,NA,Plantae,Caryophyllales,Nyctaginaceae,Nyctaginaceae,Mirabilis,linearis
233,Miny,Mirabilis nyctaginea,(Michx.) Macm,heartleaf four-o?clock,PF,,May-Oct,NA,Plantae,Caryophyllales,Nyctaginaceae,Nyctaginaceae,Mirabilis,nyctaginea
234,Mope*,Monarda pectinata,Nutt.,spotted or plains beebalm,AF,,May-Jul,NA,Plantae,Lamiales,Labiatae,Lamiaceae,Monarda,pectinata
235,Mudi,Musineum divaricatum,(Pursh) Nutt. ex. T. & G.,leafy musineon,PF,,May-Jul,NA,Plantae,Apiales,Umbelliferae,Apiaceae,Musineum,divaricatum
236,Oeal,Oenothera albicaulis,Pursh,prairie evening primrose,AF,WS,Apr-Aug,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Oenothera,albicaulis
237,Oeca,Oenothera caespitosa,Nutt. var. macroglottis Wagner,large tounge (tufted) evening primrose,PF,,May-Aug,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Oenothera,caespitosa
238,Oeco,Oenothera coronopifolia,Torr. & Gray,coronopsus evening primrose,PF,WS,May-Jul,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Oenothera,coronopifolia
239,Oela,Oenothera latifolia,(Rydb.) Munz,pale evening primrose,PF,,Jun-Sep,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Oenothera,latifolia
240,Oevi,Oenothera villosa,Thunb.,shaggy evening primrose,BiF,,Jul-Oct,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Oenothera,villosa
241,Oese,See Case,,,,,,NA,Plantae,,,,See,Case
242,Opco*,Opuntia compressa,,flat prickly pear,PS,,May-Jun,NA,Plantae,Caryophyllales,Cactaceae,Cactaceae,Opuntia,compressa
243,Opfr*,Opuntia fragilis,Nutt. Haw.,little prickly pear,PS,,Jun-Jul,NA,Plantae,Caryophyllales,Cactaceae,Cactaceae,Opuntia,fragilis
244,Oppo,Opuntia polyacantha,Haw.,plains prickly pear,PS,,May-Jun,NA,Plantae,Caryophyllales,Cactaceae,Cactaceae,Opuntia,polyacantha
245,Orfa,Orobanche fasciculata,Nutt.,purple broomrape,PF,,Jun-Jul,NA,Plantae,Lamiales,Orobanchaceae,Orobanchaceae,Orobanche,fasciculata
246,Oxla,Oxytropis lambertii,Pursh,lambert loco (crazyweed),PF,,May-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Oxytropis,lambertii
247,Oxse,Oxytropis sericea,Nutt. ex. Torr. & Gray,silky loco,PF,,Apr-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Oxytropis,sericea
248,PAME,Pamelias sp.,,foliose lichen,,,,NA,Plantae,NA,Thallophyta,Thallophyta,Pamelias,NA
249,Paja,Paronychia jamesii,Torr. & Gray,James nailwort,PF,,Jun-Sep,NA,Plantae,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Paronychia,jamesii
250,Peal,Penstemon albidus,Nutt.,white penstemon,PF,,Apr-Jul,NA,Plantae,Lamiales,Scrophulariacea,Plantaginaceae,Penstemon,albidus
251,Pean,Penstemon angustifolius,Nutt. ex. Pursh,narrowleaved penstemon,PF,,May-Jun,NA,Plantae,Lamiales,Scrophulariacea,Plantaginaceae,Penstemon,angustifolius
252,Peca,See Daca,,,,,,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Calylophus,serrulatus
253,Pegr,Penstemon gracilis,Nutt.,slender penstemon,PF,,May-Aug,NA,Plantae,Lamiales,Scrophulariacea,Plantaginaceae,Penstemon,gracilis
254,Pese*,Penstemon secundiflorus,Benth.,sidebells penstemon,PF,,May-Jul,NA,Plantae,Lamiales,Scrophulariacea,Plantaginaceae,Penstemon,secundiflorus
255,Phhe,Phacelia heterophylla,Pursh,scorpion weed (varileaf phacelia),BiF,,May-Jul,NA,Plantae,NA,Hydrophyllaceae,Boraginaceae,Phacelia,heterophylla
256,Phbr*,Phlox bryoides,Nutt.,moss phlox,PF,,Apr-Jun,NA,Plantae,Ericales,Polemoniaceae,Polemoniaceae,Phlox,bryoides
257,Phho,Phlox hoodii,Richards,hoods phlox,PF,,Apr-Jul,NA,Plantae,Ericales,Polemoniaceae,Polemoniaceae,Phlox,hoodii
258,Phcu,Phyla cuneifolia,(Torr.) Greene,wedgeleaf fog-friut,PF,,Jun-Oct,NA,Plantae,Lamiales,Verbenaceae,Verbenaceae,Phyla,cuneifolia
259,Phlo,Physalis lobata,Torr.,purpleflower groundcherry,PF,,Mar-Oct,NA,Plantae,Solanales,Solanaceae,Solanaceae,Physalis,lobata
260,Phpu,Physalis pumila,Nutt.,clammy groundcherry,PF,,May-Sep,NA,Plantae,Solanales,Solanaceae,Solanaceae,Physalis,pumila
261,Phvi,Physalis virginiana,P. Mill.,Virginia groundcherry,PF,,May-Sep,NA,Plantae,Solanales,Solanaceae,Solanaceae,Physalis,virginiana
262,Piop,Picradeniopsis oppositifolia,(Nutt.) Rydb.,plains bahia,PF,WS,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Picradeniopsis,oppositifolia
263,Pler,Plantago eriopoda,Torr.,redwool plantain,PF,,Jun-Sep,NA,Plantae,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,eriopoda
264,Plma,Plantago major,L.,common plantain,PF,,May-Nov,NA,Plantae,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,major
265,Plpa,Plantago patagonica,Jacq.,woolly plantain (Indianwheat),AF,CS,May-Aug,NA,Plantae,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,patagonica
266,Plpu,See Plpa,,,,,,NA,Plantae,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,patagonica
267,Podo,Polanisia dodecandra,(L.) DC ssp. trachysperma (T. & G.) Iltis,twelvestem clammyweed,AF,,May-Oct,NA,Plantae,Brassicales,Capparaceae,Capparaceae,Polanisia,dodecandra
268,Poav,Polygonum aviculare,L.,prostrate knotweed,AF,,Jun-Oct,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Polygonum,aviculare
269,Popn,Polygonum pensylvanicum,(L.) Small,Pennsylvania smartweed (knotweed),AF,,Jul-Oct,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Polygonum,pensylvanicum
270,Pora,Polygonum ramosissimum,Michx.,bushy knotweed,AF,,Jul-Sep,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Polygonum,ramosissimum
271,Posa,Populus sargentii,Dode,plains cottonwood,,T,Mar-Jun,NA,Plantae,Malpighiales,Salicaceae,Salicaceae,Populus,sargentii
272,Pool*,Portulaca oleracea,L. ,common purslane,AF,,May-Nov,NA,Plantae,Caryophyllales,Portulacaceae,Portulacaceae,Portulaca,oleracea
273,Pope*,Potentilla pensylvanica,L.,Pennsylvania cinquefoil,PF,,Jun-Aug,NA,Plantae,Rosales,Rosaceae,Rosaceae,Potentilla,pensylvanica
274,Pori,Potentilla rivalis,Nutt.,river cinquefoil,A or BiF,,May-Oct,NA,Plantae,Rosales,Rosaceae,Rosaceae,Potentilla,rivalis
275,Prvi,Prunus virginiana,L.,black chokecherry,PS,,Apr-May,NA,Plantae,Rosales,Rosaceae,Rosaceae,Prunus,virginiana
276,Psla,Psoralea lanceolata,Pursh,lemon scurfpea,PF,,Jun-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Psoralea,lanceolata
277,Pste,Psoralea tenuiflora,Pursh,slimflower scurfpea (wild alfalfa),PF,WS,May-Jul (Sep),NA,Plantae,Fabales,Leguminosae,Fabaceae,Psoralea,tenuiflora
278,Raaq,Ranunculus aquatilis,L.,water buttercup,PF,,,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Ranunculus,aquatilis
279,Racy,Ranunculus cymbalaria,Pursh,shore buttercup,PF,,Apr-Sep,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Ranunculus,cymbalaria
280,Raco,Ratibida columnifera,(Nutt.) Woot. & Standl.,prairie coneflower,PF,WS,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Ratibida,columnifera
281,Rhar,Rhus aromatica,Ait. var. trilobata (Nutt.) A. Gray,skunkbush sumac,PS,,May-Jul,NA,Plantae,Sapindales,Anacardiaceae,Anacardiaceae,Rhus,aromatica
282,Riau,Ribes aureum,Pursh,golden current,PS,,,NA,Plantae,Saxifragales,Grossulariaceae,Grossulariaceae,Ribes,aureum
283,Rosi,Rorippa sinuata,(Nutt.) Hitch.,spreading yellow water cress,PF,,Apr-Aug,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Rorippa,sinuata
284,Roar,Rosa arkansana,Porter,Arkansas rose,PS,,May-Aug,NA,Plantae,Rosales,Rosaceae,Rosaceae,Rosa,arkansana
285,Rual,Rumex altissimus,Wood,pale dock,PF,,Apr-Jul,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Rumex,altissimus
286,Rucr,Rumex crispus,L.,curly dock,PF,,Apr-Jul,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Rumex,crispus
287,Ruve,Rumex venosus,Pursh,veiny dock,PF,,Apr-Jul,NA,Plantae,Caryophyllales,Polygonaceae,Polygonaceae,Rumex,venosus
288,Saex,Salix exigua,Nutt.,coyote willow,PS,,May-Jun,NA,Plantae,Malpighiales,Salicaceae,Salicaceae,Salix,exigua
289,Saco,Salsola collina,Pallas,slender Russianthistle,AF,,Aug-Oct,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Salsola,collina
290,Saib,Salsola iberica,Senn. & Pau,Russianthistle,AF,WS,Aug-Oct,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Salsola,iberica
291,Saka,See Saib,,,,,,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Salsola,iberica
292,Sare,Salvia reflexa,Hornem.,lanceleaf sage,AF,,Jun-Oct,NA,Plantae,Lamiales,Labiatae,Lamiaceae,Salvia,reflexa
293,Scla,Scorzonera laciniata,L.,false salsify,AF,,May-Jul,NA,Plantae,Asterales,Compositae,Asteraceae,Scorzonera,laciniata
294,Scbr,Scutellaria brittonii,Porter,Britton?s skullcap,PF,,May-Jul,NA,Plantae,Lamiales,Labiatae,Lamiaceae,Scutellaria,brittonii
295,Secr,See Sesp,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Senecio,spartioides
296,Sesp,Senecio spartioides,Torr. & Gray,broom groundsel,PF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Senecio,spartioides
297,Setr,Senecio tridenticulatus,Rybd.,prairie groundsel,PF,CS,May-Jun,NA,Plantae,Asterales,Compositae,Asteraceae,Senecio,tridenticulatus
298,Shro,Shinnersoseris rostrata,(Gray) Tomb.,beaked skeletonweed,AF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Shinnersoseris,rostrata
299,Sial,Sisymbrium altissimum,L.,tumbling hedgemustard,AF,,May-Aug,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Sisymbrium,altissimum
300,Soro,Solanum rostratum,Dunal,buffaloburr nightshade,AF,,May-Oct,NA,Plantae,Solanales,Solanaceae,Solanaceae,Solanum,rostratum
301,Sose,See Somu,,,,,,NA,Plantae,NA,NA,NA,NA,NA
302,Sotr,Solanum triflorum,Nutt.,cutleaf nightshade,AF,,May-Sep,NA,Plantae,Solanales,Solanaceae,Solanaceae,Solanum,triflorum
303,Soca,Solidago canadensis,L.,Canada goldenrod,PF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Solidago,canadensis
304,Sool**,Sonchus oleraceus,L.,common sow thistle,AF,,(Apr)May-Sep(Nov),NA,Plantae,Asterales,Compositae,Asteraceae,Sonchus,oleraceus
305,Sonu,Sophora nuttalliana,B.L. Turner,silky sophora,PF,,May-Jul,NA,Plantae,Fabales,Leguminosae,Fabaceae,Sophora,nuttalliana
306,Spco,Sphaeralcea coccinea,(Nutt.) Rydb.,scarlet globemallow,PF,CS,Apr-Aug,NA,Plantae,Malvales,Malvaceae,Malvaceae,Sphaeralcea,coccinea
307,Stpi*,Stanleya pinnata,(Pursh.) Britt.,prince?s plume,PF,CS,Apr-Aug,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Stanleya,pinnata
308,Susu,Suckleya suckleyana,(Torr.) Rydb.,poison suckleya,AF,,Jun-Sep,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Suckleya,suckleyana
309,Syoc,Symphoricarpos occidentalis,Hook.,western snowberry,PS,,Jun-Jul,NA,Plantae,Dipsacales,Caprifoliaceae,Caprifoliaceae,Symphoricarpos,occidentalis
310,Tapa,Talinum parviflorum,Nutt.,prairie fameflower,PF,WS,Apr-Aug,NA,Plantae,Caryophyllales,Portulacaceae,Portulacaceae,Talinum,parviflorum
311,Taof,Taraxacum officinale,Weber,common dandelion,PF,CS,Apr-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Taraxacum,officinale
312,Thda,Thalictrum dasycarpum,Fisch. & Lall ex Fisch.,purple meadowrue,PF,,Jun-Jul,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Thalictrum,dasycarpum
313,Thfi,Thelesperma filifolium,(Hook.) Gray,threadleaf greenthread,PF,CS,May-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Thelesperma,filifolium
314,Thme,Thelesperma megapotamicum,(Spreng.) Kuntze,rayless greenthread,PF,,May-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Thelesperma,megapotamicum
315,Thrh,Thermopsis rhombifolia,Nutt. ex. Richards.,spreadingpod thermopsis,PF,,Apr-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Thermopsis,rhombifolia
316,Thtr,See Thfi,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Thelesperma,filifolium
317,Thar,Thlaspi arvense,L.,field pennycress,AF,,Apr-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Thlaspi,arvense
318,Thmo*,Thlaspi montanum,L.,mountain pennycress,PF,,Apr-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Thlaspi,montanum
319,Toex,Townsendia exscapa,(Richards.) Porter,stemless townsendia,PF,,Mar-May,NA,Plantae,Asterales,Compositae,Asteraceae,Townsendia,exscapa
320,Togr,Townsendia grandiflora,Nutt.,largeflower townsendia,PF,,May-Jul,NA,Plantae,Asterales,Compositae,Asteraceae,Townsendia,grandiflora
321,Troc,Tradescantia occidentalis,(Britt.) Smyth,prairie sipderwort,PF,CS,May-Aug,NA,Plantae,Commelinaceae,Commelinaceae,Commelinaceae,Tradescantia,occidentalis
322,Trdu,Tragopogon dubius,Scop.,yellow (western) salsify,BiF or PF,CS,May-Jul,NA,Plantae,Asterales,Compositae,Asteraceae,Tragopogon,dubius
323,Trte,Tribulus terrestris,L.,puncturevine (feverplant),AF,,May-Oct,NA,Plantae,Zygophyllales,Zygophyllaceae,Zygophyllaceae,Tribulus,terrestris
324,Trmi,Tripterocalyx micranthus,(Torr.) Hook.,winged fruited sandverbena,AF,,May-Jun (Aug),NA,Plantae,Caryophyllales,Nyctaginaceae,Nyctaginaceae,Tripterocalyx,micranthus
325,Tyla*,Typha latifolia,L.,broad-leaved cattail,PF,,May-Jul,NA,Plantae,Poales,Typhaceae,Typhaceae,Typha,latifolia
326,Veth*,Verbascum thapsus,L.,common mullein,BiF,,Jun-Jul,NA,Plantae,Lamiales,Scrophulariaceae,Scrophulariaceae,Verbascum,thapsus
327,Vebr,Verbena bracteata,Lag. & Rodr.,bigbract verbena,PF,WS,Apr-Oct,NA,Plantae,Lamiales,Verbenaceae,Verbenaceae,Verbena,bracteata
328,Veen,Verbesina encelioides,(Cav.) Benth. & Hook. ssp. exauriculata (Robins & Greenm.) Coleman,golden crownbeard,AF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Verbesina,encelioides
329,Vepa,Veronica peregrina,L.,purslane speedwell,AF,,Jun-Sep,NA,Plantae,Lamiales,Scrophulariaceae,Scrophulariaceae,Veronica,peregrina
330,Viam,Vicia americana,Muhl. ex. Willd.,American vetch,PF,,May-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Vicia,americana
331,Vinu,Viola nuttallii,Pursh,yellow prairie violet,PF,,Apr-Jul,NA,Plantae,Malpighiales,Violaceae,Violaceae,Viola,nuttallii
