"Code","Growth","SppType","Season","Month","Year","Site","Plot","Quad","Cover","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","month_num","site_plot"
"SPCR","P","G",3,"September",2004,"X","3",70,2,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",70,5,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",70,85,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"CHSE7","A","H",3,"September",2004,"X","3",72,1,"Plantae","Euphorbiaceae","Chamaesyce","serrula",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",72,3,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",72,8,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"UNFO3",NA,"H",3,"September",2004,"X","3",72,1,NA,NA,NA,NA,9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",78,4,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"PLJA","P","G",3,"September",2004,"X","3",78,75,"Plantae","Poaceae","Pleuraphis","jamesii",9,"X3"
"MAGR10","A","H",3,"September",2004,"X","3",80,1,"Plantae","Asteraceae","Machaeranthera","gracilis",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",80,20,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",80,35,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",82,10,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",82,20,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",82,30,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"MAGR10","A","H",3,"September",2004,"X","3",84,5,"Plantae","Asteraceae","Machaeranthera","gracilis",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",84,20,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"GUSA2","P","S",3,"September",2004,"X","3",84,30,"Plantae","Asteraceae","Gutierrezia","sarothrae",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",90,1,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",90,12,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",90,85,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"CHSES","A","H",3,"September",2004,"X","3",92,1,"Plantae","Euphorbiaceae","Chamaesyce","serpyllifolia",9,"X3"
"ARAD","A","G",3,"September",2004,"X","3",92,10,"Plantae","Poaceae","Aristida","adscensionis",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",92,25,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"UNFO2",NA,"H",3,"September",2004,"X","3",92,4,NA,NA,NA,NA,9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",94,2,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOBA2","A","G",3,"September",2004,"X","3",94,5,"Plantae","Poaceae","Bouteloua","barbata",9,"X3"
"UNGR1",NA,"G",3,"September",2004,"X","3",94,2,NA,NA,NA,NA,9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",94,20,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SEFLF","P","H",3,"September",2004,"X","3",96,2,"Plantae","Asteraceae","Senecio","flaccidus",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",96,15,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",102,45,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",104,2,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",104,20,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",104,40,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",106,5,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",106,40,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"CHSES","A","H",3,"September",2004,"X","3",108,1,"Plantae","Euphorbiaceae","Chamaesyce","serpyllifolia",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",108,2,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",108,4,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",108,20,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",114,1,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",114,30,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",116,5,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",116,90,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",118,3,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"MUAR2","P","G",3,"September",2004,"X","3",118,4,"Plantae","Poaceae","Muhlenbergia","arenicola",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",118,20,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",118,30,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",120,5,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SEFLF","P","H",3,"September",2004,"X","3",120,5,"Plantae","Asteraceae","Senecio","flaccidus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",120,50,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",126,3,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",126,4,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",126,90,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",128,4,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"PLJA","P","G",3,"September",2004,"X","3",128,2,"Plantae","Poaceae","Pleuraphis","jamesii",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",128,25,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",128,45,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",130,10,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",130,20,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",130,25,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",132,5,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"SPFL2","P","G",3,"September",2004,"X","3",132,5,"Plantae","Poaceae","Sporobolus","flexuosus",9,"X3"
"IPLO2","A","H",3,"September",2004,"X","3",132,20,"Plantae","Polemoniaceae","Ipomopsis","longiflora",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",132,35,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",138,1,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",138,5,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",138,50,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"GUSA2","P","S",3,"September",2004,"X","3",140,2,"Plantae","Asteraceae","Gutierrezia","sarothrae",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",140,45,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",142,15,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",142,20,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"SATR12","A","H",3,"September",2004,"X","3",144,1,"Plantae","Chenopodiaceae","Salsola","tragus",9,"X3"
"IPLO2","A","H",3,"September",2004,"X","3",144,5,"Plantae","Polemoniaceae","Ipomopsis","longiflora",9,"X3"
"SPCR","P","G",3,"September",2004,"X","3",144,5,"Plantae","Poaceae","Sporobolus","cryptandrus",9,"X3"
"BOER4","P","G",3,"September",2004,"X","3",144,20,"Plantae","Poaceae","Bouteloua","eriopoda",9,"X3"
"APRAH","P","H",3,"September",2004,"X","3",144,25,"Plantae","Asteraceae","Aphanostephus","ramosissimus",9,"X3"
"ASMIM","P","H",1,"May",2005,"G","1",6,1,"Plantae","Fabaceae","Astragalus","missouriensis",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",6,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",8,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",8,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",8,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",10,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",10,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",10,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",12,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",18,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",18,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",18,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ERRO2","A","H",1,"May",2005,"G","1",20,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",20,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",22,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ERRO2","A","H",1,"May",2005,"G","1",22,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",22,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",22,25,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",24,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",24,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",30,2,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"CHSES","A","H",1,"May",2005,"G","1",30,2,"Plantae","Euphorbiaceae","Chamaesyce","serpyllifolia",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",30,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASMIM","P","H",1,"May",2005,"G","1",30,6,"Plantae","Fabaceae","Astragalus","missouriensis",5,"G1"
"CHER2","P","H",1,"May",2005,"G","1",32,1,"Plantae","Asteraceae","Chaetopappa","ericoides",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",32,30,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ERRO2","A","H",1,"May",2005,"G","1",34,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",34,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"ZIGR","P","H",1,"May",2005,"G","1",34,1,"Plantae","Asteraceae","Zinnia","grandiflora",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",34,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"STPA4","P","H",1,"May",2005,"G","1",34,5,"Plantae","Asteraceae","Stephanomeria","pauciflora",5,"G1"
"SOEL","P","H",1,"May",2005,"G","1",36,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",36,2,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",36,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"NONE",NA,NA,1,"May",2005,"G","1",42,0,NA,NA,NA,NA,5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",44,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",46,1,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",46,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",48,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASMIM","P","H",1,"May",2005,"G","1",54,1,"Plantae","Fabaceae","Astragalus","missouriensis",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",54,3,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",54,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",56,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",58,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",58,15,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",60,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",60,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",66,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"SOEL","P","H",1,"May",2005,"G","1",66,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",66,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"ZIGR","P","H",1,"May",2005,"G","1",66,1,"Plantae","Asteraceae","Zinnia","grandiflora",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",66,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",68,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",68,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",68,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",70,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",70,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",70,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ZIGR","P","H",1,"May",2005,"G","1",72,1,"Plantae","Asteraceae","Zinnia","grandiflora",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",72,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",72,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",78,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",78,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",80,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",82,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ERRO2","A","H",1,"May",2005,"G","1",84,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",84,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",90,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",92,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"ERRO2","A","H",1,"May",2005,"G","1",92,1,"Plantae","Polygonaceae","Eriogonum","rotundifolium",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",92,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",92,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",94,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",96,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",96,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",102,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",102,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",102,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",104,2,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",104,25,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",106,1,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",106,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SATR12","A","H",1,"May",2005,"G","1",108,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G1"
"HOGL2","P","H",1,"May",2005,"G","1",108,2,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G1"
"CHLA10","A","H",1,"May",2005,"G","1",114,1,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",114,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",116,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"HOGL2","P","H",1,"May",2005,"G","1",116,2,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",118,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",118,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"MAGR10","A","H",1,"May",2005,"G","1",120,1,"Plantae","Asteraceae","Machaeranthera","gracilis",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",120,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",126,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",128,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",130,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",132,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",138,2,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"CRCR3","A","H",1,"May",2005,"G","1",140,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",140,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SPHA","P","H",1,"May",2005,"G","1",140,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","1",142,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",142,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2005,"G","1",144,1,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2005,"G","2",6,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",6,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"SOEL","P","H",1,"May",2005,"G","2",6,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",6,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"LEDED","A","H",1,"May",2005,"G","2",8,1,NA,NA,NA,NA,5,"G2"
"SOEL","P","H",1,"May",2005,"G","2",8,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",8,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"HOGL2","P","H",1,"May",2005,"G","2",10,1,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G2"
"MAFE","A","H",1,"May",2005,"G","2",10,1,"Plantae","Asteraceae","Malacothrix","fendleri",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",10,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",12,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",12,8,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",18,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",18,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",20,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"HOGL2","P","H",1,"May",2005,"G","2",20,1,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G2"
"SOEL","P","H",1,"May",2005,"G","2",20,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",20,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",20,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"SOEL","P","H",1,"May",2005,"G","2",22,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"CHLA10","A","H",1,"May",2005,"G","2",22,2,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",22,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",22,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",22,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",24,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",30,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",30,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",32,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"DEPI","A","H",1,"May",2005,"G","2",32,1,"Plantae","Brassicaceae","Descurainia","pinnata",5,"G2"
"LEDED","A","H",1,"May",2005,"G","2",32,1,NA,NA,NA,NA,5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",32,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"SEDI3","P","H",1,"May",2005,"G","2",34,1,"Plantae","Nyctaginaceae","Selinocarpus","diffusus",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",34,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CHLA10","A","H",1,"May",2005,"G","2",34,10,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G2"
"SOEL","P","H",1,"May",2005,"G","2",36,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",36,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",36,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CHLA10","A","H",1,"May",2005,"G","2",42,1,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G2"
"SATR12","A","H",1,"May",2005,"G","2",42,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",42,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",44,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"LEDED","A","H",1,"May",2005,"G","2",44,1,NA,NA,NA,NA,5,"G2"
"CRCR3","A","H",1,"May",2005,"G","2",44,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",44,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",46,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CHLA10","A","H",1,"May",2005,"G","2",46,4,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",46,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2005,"G","2",48,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"SATR12","A","H",1,"May",2005,"G","2",48,1,"Plantae","Chenopodiaceae","Salsola","tragus",5,"G2"
"PLPA2","A","H",1,"May",2005,"G","2",48,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
