"YEAR","DATE","SITE","BLK","PLOT","TRT","SPECIES","NESTS","Taxa_genus","Taxa_species"
2004,"09/27/04","C",1,1,"C","APCO",1," Aphenogaster"," cockerelli"
2004,"09/27/04","C",1,1,"C","MYDE",1," Myrmecocystus"," depilis"
2004,"09/27/04","C",1,1,"C","PODE",1," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",1,3,"L","APCO",4," Aphenogaster"," cockerelli"
2004,"09/27/04","C",1,3,"L","MYDE",1," Myrmecocystus"," depilis"
2004,"09/27/04","C",1,3,"L","PODE",5," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",1,4,"R","APCO",4," Aphenogaster"," cockerelli"
2004,"09/27/04","C",1,4,"R","PODE",14," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",2,1,"C","APCO",3," Aphenogaster"," cockerelli"
2004,"09/27/04","C",2,1,"C","PODE",2," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",2,2,"L","APCO",1," Aphenogaster"," cockerelli"
2004,"09/27/04","C",2,2,"L","PODE",7," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",2,3,"R","APCO",5," Aphenogaster"," cockerelli"
2004,"09/27/04","C",2,3,"R","PODE",21," Pogonomyrmex"," desertorum"
2004,"09/26/04","G",1,1,"L","PORU",1," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",1,2,"R","PORU",2," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",1,4,"C","PORU",3," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",2,1,"L","NONE",0," NA"," NA"
2004,"09/26/04","G",2,3,"C","PORU",1," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",2,4,"R","PORU",0," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",3,2,"L","NONE",0," NA"," NA"
2004,"09/26/04","G",3,3,"R","PORU",1," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",3,4,"C","PORU",2," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",4,1,"R","PORU",1," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",4,2,"C","PORU",0," Pogonomyrmex"," rugosus"
2004,"09/26/04","G",4,3,"L","PORU",2," Pogonomyrmex"," rugosus"
2004,"09/27/04","C",3,3,"C","PODE",9," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",3,3,"C","APCO",3," Aphenogaster"," cockerelli"
2004,"09/27/04","C",3,2,"R","APCO",6," Aphenogaster"," cockerelli"
2004,"09/27/04","C",3,2,"R","PODE",16," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",3,4,"L","APCO",3," Aphenogaster"," cockerelli"
2004,"09/27/04","C",3,4,"L","PODE",2," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",4,1,"L","APCO",6," Aphenogaster"," cockerelli"
2004,"09/27/04","C",4,1,"L","PODE",3," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",4,1,"L","PORU",2," Pogonomyrmex"," rugosus"
2004,"09/27/04","C",4,2,"C","APCO",2," Aphenogaster"," cockerelli"
2004,"09/27/04","C",4,2,"C","PODE",4," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",4,2,"C","PORU",1," Pogonomyrmex"," rugosus"
2004,"09/27/04","C",4,3,"R","MYDE",1," Myrmecocystus"," depilis"
2004,"09/27/04","C",4,3,"R","POAP",1," Pogonomyrmex"," apache"
2004,"09/27/04","C",4,3,"R","PODE",11," Pogonomyrmex"," desertorum"
2004,"09/27/04","C",4,3,"R","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/23/05","C",1,1,"C","APCO",3," Aphenogaster"," cockerelli"
2005,"09/23/05","C",1,1,"C","PODE",9," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",1,3,"L","APCO",4," Aphenogaster"," cockerelli"
2005,"09/23/05","C",1,3,"L","PODE",6," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",1,4,"R","APCO",1," Aphenogaster"," cockerelli"
2005,"09/23/05","C",1,4,"R","PODE",11," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",2,1,"C","PODE",2," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",2,2,"L","APCO",2," Aphenogaster"," cockerelli"
2005,"09/23/05","C",2,2,"L","PODE",2," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",2,3,"R","APCO",2," Aphenogaster"," cockerelli"
2005,"09/23/05","C",2,3,"R","PODE",17," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",3,2,"R","APCO",4," Aphenogaster"," cockerelli"
2005,"09/23/05","C",3,2,"R","PODE",14," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",3,3,"C","APCO",3," Aphenogaster"," cockerelli"
2005,"09/23/05","C",3,3,"C","PODE",7," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",3,4,"L","APCO",2," Aphenogaster"," cockerelli"
2005,"09/23/05","C",3,4,"L","PODE",3," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",4,1,"L","MYDE",1," Myrmecocystus"," depilis"
2005,"09/23/05","C",4,1,"L","PODE",3," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",4,1,"L","PORU",4," Pogonomyrmex"," rugosus"
2005,"09/23/05","C",4,2,"C","APCO",1," Aphenogaster"," cockerelli"
2005,"09/23/05","C",4,2,"C","PODE",2," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",4,2,"C","PORU",2," Pogonomyrmex"," rugosus"
2005,"09/23/05","C",4,3,"R","PODE",11," Pogonomyrmex"," desertorum"
2005,"09/23/05","C",4,3,"R","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",1,1,"L","PORU",2," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",1,2,"R","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",1,4,"C","PORU",2," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",2,1,"L","NONE",0," NA"," NA"
2005,"09/24/05","G",2,3,"C","PORU",2," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",2,4,"R","NONE",0," NA"," NA"
2005,"09/24/05","G",3,1,"C","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",3,2,"L","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",3,3,"R","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",4,1,"R","PORU",1," Pogonomyrmex"," rugosus"
2005,"09/24/05","G",4,2,"C","NONE",0," NA"," NA"
2005,"09/24/05","G",4,3,"L","PORU",3," Pogonomyrmex"," rugosus"
