"Bee_Species","SiteRepSeason","bees","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","updated_bee_species","site","rep","season","year"
"MEDIAIMPF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dianthidium","implicatum","MEDIAIMP","C","3","SP","2010"
"MEDIOPACF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dioxys","pacificus","MEDIOPAC","C","3","SP","2010"
"MEDIOPOMF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEDIOPOM","C","3","SP","2010"
"MEHOP003F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEHOP003","C","3","SP","2010"
"MELITAPIF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Lithurge","apicalis","MELITAPI","C","3","SP","2010"
"MEMEGSIDF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEMEGSID","C","3","SP","2010"
"MEMEGUMAF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEMEGUMA","C","3","SP","2010"
"MEOSMCERF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","cerasi","MEOSMCER","C","3","SP","2010"
"MEOSMLATF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","latisulcata","MEOSMLAT","C","3","SP","2010"
"MEOSMLIOF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","liogastra","MEOSMLIO","C","3","SP","2010"
"MEOSMPRUF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","prunorum","MEOSMPRU","C","3","SP","2010"
"MEOSMTITF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","titusi","MEOSMTIT","C","3","SP","2010"
"MEOSMWATF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","watsoni","MEOSMWAT","C","3","SP","2010"
"ANANDCAPF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDCAP","C","3","SP","2010"
"ANANDCREF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDCRE","C","3","SP","2010"
"ANANDHELF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDHEL","C","3","SP","2010"
"ANANDILLF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDILL","C","3","SP","2010"
"ANANDMON","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDMON","C","3","SP","2010"
"ANANDPRFF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Andrena","primulifrons","ANANDPRF","C","3","SP","2010"
"ANANDPRIF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Andrena","prima","ANANDPRI","C","3","SP","2010"
"ANHETPERF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANHETPER","C","3","SP","2010"
"ANHET002F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Heterosarus","2","ANHET002","C","3","SP","2010"
"ANCAL001F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANCAL001","C","3","SP","2010"
"ANPER001F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","1","ANPER001","C","3","SP","2010"
"ANPER002F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","2","ANPER002","C","3","SP","2010"
"ANPER003F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","3","ANPER003","C","3","SP","2010"
"ANPER005F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","5","ANPER005","C","3","SP","2010"
"ANPER006F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","new_sp_006","ANPER006","C","3","SP","2010"
"ANPER009F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER009","C","3","SP","2010"
"ANPER012F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER012","C","3","SP","2010"
"ANPER014F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER014","C","3","SP","2010"
"ANPER015F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER015","C","3","SP","2010"
"ANPER016F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER016","C","3","SP","2010"
"ANPER018F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER018","C","3","SP","2010"
"ANPERALBF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","albovittata","ANPERALB","C","3","SP","2010"
"ANPERAST","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERAST","C","3","SP","2010"
"ANPERCALF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","callicerata","ANPERCAL","C","3","SP","2010"
"ANPERCORF","C3SP10",3,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","coreopsidis_kansensis","ANPERCOR","C","3","SP","2010"
"ANPERDOLF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERDOL","C","3","SP","2010"
"ANPERFALF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","fallax","ANPERFAL","C","3","SP","2010"
"ANPERIGNF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","ignota_ignota","ANPERIGN","C","3","SP","2010"
"ANPERMENF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERMEN","C","3","SP","2010"
"ANPERPULF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERPUL","C","3","SP","2010"
"ANPERVERF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","verbesinae","ANPERVER","C","3","SP","2010"
"APANDCOMF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Athedonia","compta","APANDCOM","C","3","SP","2010"
"APANPCOMF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APANPCOM","C","3","SP","2010"
"APANTAFFF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","affabilis","APANTAFF","C","3","SP","2010"
"APANTCALF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","californica","APANTCAL","C","3","SP","2010"
"APANTLESF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","lesquerellae","APANTLES","C","3","SP","2010"
"APANTMONF","C3SP10",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","montana","APANTMON","C","3","SP","2010"
"APANTPHEF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APANTPHE","C","3","SP","2010"
"APANTPORF","C3SP10",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","porterae","APANTPOR","C","3","SP","2010"
"APAPIMELF","C3SP10",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Apis","mellifera","APAPIMEL","C","3","SP","2010"
"APBOMHUNF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APBOMHUN","C","3","SP","2010"
"APBOMPENF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Bombus","pensylvanicus","APBOMPEN","C","3","SP","2010"
"APCERACAF","C3SP10",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APCERACA","C","3","SP","2010"
"APCERNANF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Ceratina","nanula","APCERNAN","C","3","SP","2010"
"APDIAAUSF","C3SP10",7,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","australis","APDIAAUS","C","3","SP","2010"
"APDIADIMF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","diminuta","APDIADIM","C","3","SP","2010"
"APDIAENAF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APDIAENA","C","3","SP","2010"
"APDIAMEGF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","megamorpha","APDIAMEG","C","3","SP","2010"
"APDIAOCHF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","ochracea","APDIAOCH","C","3","SP","2010"
"APDIARINF","C3SP10",18,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","rinconis","APDIARIN","C","3","SP","2010"
"APDIASPHF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APDIASPH","C","3","SP","2010"
"APDIAVALF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APDIAVAL","C","3","SP","2010"
"APEUCLYCF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Eucera","lycii","APEUCLYC","C","3","SP","2010"
"APEUCTERF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Eucera","territella","APEUCTER","C","3","SP","2010"
"APEXOSOLF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Exomalopsis","solani","APEXOSOL","C","3","SP","2010"
"APHABMORF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Habropoda","morrisoni","APHABMOR","C","3","SP","2010"
"APHABNS1F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APHABNS1","C","3","SP","2010"
"APHOLCALF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Holcopasites","calliopsidis","APHOLCAL","C","3","SP","2010"
"APMELBOHF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melecta","bohartorum","APMELBOH","C","3","SP","2010"
"APMELPACF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melecta","pacifica","APMELPAC","C","3","SP","2010"
"APMESAGIF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","agilis","APMESAGI","C","3","SP","2010"
"APMESCOLF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESCOL","C","3","SP","2010"
"APMESCOMF","C3SP10",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","communis_communis","APMESCOM","C","3","SP","2010"
"APMESHUMF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESHUM","C","3","SP","2010"
"APMESMENF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESMEN","C","3","SP","2010"
"APMESPARF","C3SP10",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","paroselae","APMESPAR","C","3","SP","2010"
"APMESSUBF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","subagilis","APMESSUB","C","3","SP","2010"
"APMESTHEF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","thelypodii_thelypodii","APMESTHE","C","3","SP","2010"
"APMESTRIF","C3SP10",5,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","tristis","APMESTRI","C","3","SP","2010"
"APMESTRIM","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESTRIM","C","3","SP","2010"
"APMESVERF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","verbesinarum","APMESVER","C","3","SP","2010"
"APNEOVIGF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Neolarra","vigilans","APNEOVIG","C","3","SP","2010"
"APNOM001F","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Nomada","(Micronomada)001","APNOM001","C","3","SP","2010"
"APPEPPRU","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APPEPPRU","C","3","SP","2010"
"APSVAHELF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Svastra","helianthelli","APSVAHEL","C","3","SP","2010"
"APSVAMACF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Svastra","machaerantherae","APSVAMAC","C","3","SP","2010"
"APSVAOBLF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Svastra","obliqua","APSVAOBL","C","3","SP","2010"
"APTETALBF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APTETALB","C","3","SP","2010"
"APTETSPIF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APTETSPI","C","3","SP","2010"
"APXYLCALF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Xylocopa","californica","APXYLCAL","C","3","SP","2010"
"COHYLMESF","C3SP10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","COLLETIDAE","Hylaeus","mesillae_mesillae","COHYLMES","C","3","SP","2010"
"HAHALTRIF","C3FA10",2,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Halictus","tripartitus","HAHALTRI","C","3","FA","2010"
"HAAGAANGF","C3FA10",2,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Agapostemon","angelicus","HAAGAANG","C","3","FA","2010"
"HAAGAFEMF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAGAFEM","C","3","FA","2010"
"HAAGAMELF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Agapostemon","melliventris","HAAGAMEL","C","3","FA","2010"
"HAAGASPLF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAGASPL","C","3","FA","2010"
"HAAUGAURF","C3FA10",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAUGAUR","C","3","FA","2010"
"HADUFMARF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HADUFMAR","C","3","FA","2010"
"HADUF001F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HADUF001","C","3","FA","2010"
"HAHALCONF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAHALCON","C","3","FA","2010"
"HAHALLIGF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Halictus","ligatus","HAHALLIG","C","3","FA","2010"
"HAHALPARF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAHALPAR","C","3","FA","2010"
"HALASPRUF","C3FA10",1,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","pruinosiformis","HALASPRU","C","3","FA","2010"
"HALASCOAF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASCOA","C","3","FA","2010"
"HALASHUDF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASHUD","C","3","FA","2010"
"HALASPARF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASPAR","C","3","FA","2010"
"HALASPERF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASPER","C","3","FA","2010"
"HALASPOTF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","potosi","HALASPOT","C","3","FA","2010"
"HALASSISF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","sisymbrii","HALASSIS","C","3","FA","2010"
"HALAS00CF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS00C","C","3","FA","2010"
"HALAS007F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS007","C","3","FA","2010"
"HALAS012F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS012","C","3","FA","2010"
"HALAS015F","C3FA10",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS015","C","3","FA","2010"
"HALAS017F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS017","C","3","FA","2010"
"HALAS018F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS018","C","3","FA","2010"
"HALAS019F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS019","C","3","FA","2010"
"HALAS020F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS020","C","3","FA","2010"
"HALAS021F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS021","C","3","FA","2010"
"HALASODDF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASODD","C","3","FA","2010"
"HALASEV1F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","(Evylaeus)001","HALASEV1","C","3","FA","2010"
"HALASEV2F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","(Evylaeus)002","HALASEV2","C","3","FA","2010"
"HALASEV3F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV3","C","3","FA","2010"
"HALASEV4F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV4","C","3","FA","2010"
"HALASEV5F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV5","C","3","FA","2010"
"HALASEV6F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV6","C","3","FA","2010"
"HALASNOCF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASNOC","C","3","FA","2010"
"HANOMTRIF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HANOMTRI","C","3","FA","2010"
"HASPH001F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Sphecodes","1","HASPH001","C","3","FA","2010"
"HASPH002F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Sphecodes","2","HASPH002","C","3","FA","2010"
"MEANTEMAF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Anthidium","emarginatum","MEANTEMA","C","3","FA","2010"
"MEANTPORF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Anthidium","porterae","MEANTPOR","C","3","FA","2010"
"MEASHBIGF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Ashmeadiella","bigeloveae","MEASHBIG","C","3","FA","2010"
"MEASHMELF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Ashmeadiella","meliloti","MEASHMEL","C","3","FA","2010"
"MEDIACURF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEDIACUR","C","3","FA","2010"
"MEDIAIMPF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dianthidium","implicatum","MEDIAIMP","C","3","FA","2010"
"MEDIOPACF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dioxys","pacificus","MEDIOPAC","C","3","FA","2010"
"MEDIOPOMF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEDIOPOM","C","3","FA","2010"
"MEHOP003F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEHOP003","C","3","FA","2010"
"MELITAPIF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Lithurge","apicalis","MELITAPI","C","3","FA","2010"
"MEMEGSIDF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEMEGSID","C","3","FA","2010"
"MEMEGUMAF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEMEGUMA","C","3","FA","2010"
"MEOSMCERF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","cerasi","MEOSMCER","C","3","FA","2010"
"MEOSMLATF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","latisulcata","MEOSMLAT","C","3","FA","2010"
"MEOSMLIOF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","liogastra","MEOSMLIO","C","3","FA","2010"
"MEOSMPRUF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","prunorum","MEOSMPRU","C","3","FA","2010"
"MEOSMTITF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","titusi","MEOSMTIT","C","3","FA","2010"
"MEOSMWATF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Osmia","watsoni","MEOSMWAT","C","3","FA","2010"
"ANANDCAPF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDCAP","C","3","FA","2010"
"ANANDCREF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDCRE","C","3","FA","2010"
"ANANDHELF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDHEL","C","3","FA","2010"
"ANANDILLF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDILL","C","3","FA","2010"
"ANANDMON","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANANDMON","C","3","FA","2010"
"ANANDPRFF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Andrena","primulifrons","ANANDPRF","C","3","FA","2010"
"ANANDPRIF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Andrena","prima","ANANDPRI","C","3","FA","2010"
"ANHETPERF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANHETPER","C","3","FA","2010"
"ANHET002F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Heterosarus","2","ANHET002","C","3","FA","2010"
"ANCAL001F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANCAL001","C","3","FA","2010"
"ANPER001F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","1","ANPER001","C","3","FA","2010"
"ANPER002F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","2","ANPER002","C","3","FA","2010"
"ANPER003F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","3","ANPER003","C","3","FA","2010"
"ANPER005F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","5","ANPER005","C","3","FA","2010"
"ANPER006F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","new_sp_006","ANPER006","C","3","FA","2010"
"ANPER009F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER009","C","3","FA","2010"
"ANPER012F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER012","C","3","FA","2010"
"ANPER014F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER014","C","3","FA","2010"
"ANPER015F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER015","C","3","FA","2010"
"ANPER016F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER016","C","3","FA","2010"
"ANPER018F","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPER018","C","3","FA","2010"
"ANPERALBF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","albovittata","ANPERALB","C","3","FA","2010"
"ANPERAST","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERAST","C","3","FA","2010"
"ANPERCALF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","callicerata","ANPERCAL","C","3","FA","2010"
"ANPERCORF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","coreopsidis_kansensis","ANPERCOR","C","3","FA","2010"
"ANPERDOLF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERDOL","C","3","FA","2010"
"ANPERFALF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","fallax","ANPERFAL","C","3","FA","2010"
"ANPERIGNF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","ignota_ignota","ANPERIGN","C","3","FA","2010"
"ANPERMENF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERMEN","C","3","FA","2010"
"ANPERPULF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERPUL","C","3","FA","2010"
"ANPERVERF","C3FA10",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","verbesinae","ANPERVER","C","3","FA","2010"
